🐯暮雨｜直播,#genre#
云南卫视,http://unraid.jimin.codetech.top:8888/udp/239.3.1.26:8108
西藏卫视,http://unraid.jimin.codetech.top:8888/udp/239.3.1.47:8164
贵州卫视,http://unraid.jimin.codetech.top:8888/udp/239.3.1.31:8120
重庆卫视,http://unraid.jimin.codetech.top:8888/udp/239.3.1.35:8296
湖北卫视,http://unraid.jimin.codetech.top:8888/udp/239.3.1.33:8136
湖南卫视,http://unraid.jimin.codetech.top:8888/udp/239.3.1.18:8268
安徽卫视,http://unraid.jimin.codetech.top:8888/udp/239.3.1.21:8272
山东卫视,http://unraid.jimin.codetech.top:8888/udp/239.3.1.25:8148
江苏卫视,http://unraid.jimin.codetech.top:8888/udp/239.3.1.20:8276
浙江卫视,http://unraid.jimin.codetech.top:8888/udp/239.3.1.19:8284
四川卫视,http://unraid.jimin.codetech.top:8888/udp/239.3.1.29:8288
河南卫视,http://unraid.jimin.codetech.top:8888/udp/239.3.1.27:8128
陕西卫视,http://unraid.jimin.codetech.top:8888/udp/239.3.1.41:8140
新疆卫视,http://unraid.jimin.codetech.top:8888/udp/239.3.1.48:8160
宁夏卫视,http://unraid.jimin.codetech.top:8888/udp/239.3.1.46:8124
青海卫视,http://unraid.jimin.codetech.top:8888/udp/239.3.1.44:8184
甘肃卫视,http://unraid.jimin.codetech.top:8888/udp/239.3.1.49:8188
山西卫视,http://unraid.jimin.codetech.top:8888/udp/239.3.1.42:8172
河北卫视,http://unraid.jimin.codetech.top:8888/udp/239.3.1.37:8292
天津卫视,http://unraid.jimin.codetech.top:8888/udp/239.3.1.23:8144
内蒙古卫视,http://unraid.jimin.codetech.top:8888/udp/239.3.1.43:8176
辽宁卫视,http://unraid.jimin.codetech.top:8888/udp/239.3.1.24:8116
黑龙江卫视,http://unraid.jimin.codetech.top:8888/udp/239.3.1.28:8196
吉林卫视,http://unraid.jimin.codetech.top:8888/udp/239.3.1.40:8200
三沙卫视,http://unraid.jimin.codetech.top:8888/udp/239.3.1.155:4120
兵团卫视,http://unraid.jimin.codetech.top:8888/udp/239.3.1.144:4120

北京卫视,http://unraid.jimin.codetech.top:8888/udp/239.3.1.241:8000
北京卫视,http://unraid.jimin.codetech.top:8888/udp/239.3.1.225:8000
北京新闻,http://unraid.jimin.codetech.top:8888/udp/239.3.1.159:8000
北京文艺,http://unraid.jimin.codetech.top:8888/udp/239.3.1.242:8000
北京影视,http://unraid.jimin.codetech.top:8888/udp/239.3.1.158:8000
北京体育休闲,http://unraid.jimin.codetech.top:8888/udp/239.3.1.243:8000
北京纪实科教,http://unraid.jimin.codetech.top:8888/udp/239.3.1.115:8000
北京财经,http://unraid.jimin.codetech.top:8888/udp/239.3.1.116:8000
北京生活,http://unraid.jimin.codetech.top:8888/udp/239.3.1.117:8000
北京卡酷动画,http://unraid.jimin.codetech.top:8888/udp/239.3.1.189:8000
朝阳电视台,http://unraid.jimin.codetech.top:8888/udp/239.3.1.163:8001
密云电视台,http://unraid.jimin.codetech.top:8888/udp/239.3.1.154:8001
房山电视台,http://unraid.jimin.codetech.top:8888/udp/239.3.1.96:8001
通州融媒,http://unraid.jimin.codetech.top:8888/udp/239.3.1.221:8001
北京IPTV4K[4K],http://unraid.jimin.codetech.top:8888/udp/239.3.1.249:8001
北京IPTV淘精彩,http://unraid.jimin.codetech.top:8888/udp/239.3.1.178:8001
北京IPTV淘娱乐,http://unraid.jimin.codetech.top:8888/udp/239.3.1.100:8001
北京IPTV淘剧场,http://unraid.jimin.codetech.top:8888/udp/239.3.1.95:8001
北京IPTV淘BABY,http://unraid.jimin.codetech.top:8888/udp/239.3.1.238:8001
北京IPTV淘电影,http://unraid.jimin.codetech.top:8888/udp/239.3.1.250:8001
北京IPTV萌宠TV,http://unraid.jimin.codetech.top:8888/udp/239.3.1.102:8001
北京文艺,http://unraid.jimin.codetech.top:8888/udp/239.3.1.226:8000
北京纪实科教,http://unraid.jimin.codetech.top:8888/udp/239.3.1.227:8000
北京影视,http://unraid.jimin.codetech.top:8888/udp/239.3.1.228:8000
北京财经,http://unraid.jimin.codetech.top:8888/udp/239.3.1.229:8000
北京冬奥纪实,http://unraid.jimin.codetech.top:8888/udp/239.3.1.230:8000
北京生活,http://unraid.jimin.codetech.top:8888/udp/239.3.1.231:8000
北京青年,http://unraid.jimin.codetech.top:8888/udp/239.3.1.232:8000
北京新闻,http://unraid.jimin.codetech.top:8888/udp/239.3.1.233:8000
北京卡酷少儿,http://unraid.jimin.codetech.top:8888/udp/239.3.1.234:8000
北京国际频道,http://unraid.jimin.codetech.top:8888/udp/239.3.1.235:8000
爱上4K[4K],http://unraid.jimin.codetech.top:8888/udp/239.3.1.236:2000
大健康,http://unraid.jimin.codetech.top:8888/udp/239.3.1.251:8001
体育赛事,http://unraid.jimin.codetech.top:8888/udp/239.3.1.157:8176
电影台,http://unraid.jimin.codetech.top:8888/udp/239.3.1.97:8001
每日影院,http://unraid.jimin.codetech.top:8888/udp/239.3.1.111:8001
幸福剧场,http://unraid.jimin.codetech.top:8888/udp/239.3.1.112:8001
幸福娱乐,http://unraid.jimin.codetech.top:8888/udp/239.3.1.113:8001
风尚生活,http://unraid.jimin.codetech.top:8888/udp/239.3.1.114:8001
聚鲨环球精选,http://unraid.jimin.codetech.top:8888/udp/239.3.1.179:8001
聚鲨国际,http://unraid.jimin.codetech.top:8888/udp/239.3.1.183:8001
央广购物1,http://unraid.jimin.codetech.top:8888/udp/239.3.1.222:8001
央广购物2,http://unraid.jimin.codetech.top:8888/udp/239.3.1.223:8001
优购物,http://unraid.jimin.codetech.top:8888/udp/239.3.1.180:8001
时尚购物,http://unraid.jimin.codetech.top:8888/udp/239.3.1.181:8001
东方购物,http://unraid.jimin.codetech.top:8888/udp/239.3.1.182:8001
家有购物,http://unraid.jimin.codetech.top:8888/udp/239.3.1.185:8001
北京体育休闲,http://unraid.jimin.codetech.top:8888/udp/239.3.1.97:8001
金鹰纪实,http://unraid.jimin.codetech.top:8888/udp/239.3.1.58:8156
快乐垂钓,http://unraid.jimin.codetech.top:8888/udp/239.3.1.164:8001
茶频道,http://unraid.jimin.codetech.top:8888/udp/239.3.1.165:8001
纪实人文,http://unraid.jimin.codetech.top:8888/udp/239.3.1.212:8060
中国教育1台,http://unraid.jimin.codetech.top:8888/udp/239.3.1.57:8152
山东教育,http://unraid.jimin.codetech.top:8888/udp/239.3.1.52:4120
IPTV少儿动画,http://unraid.jimin.codetech.top:8888/udp/239.3.1.199:9000
IPTV魅力时尚,http://unraid.jimin.codetech.top:8888/udp/239.3.1.196:9012
IPTV热播剧场,http://unraid.jimin.codetech.top:8888/udp/239.3.1.194:9020
IPTV收视指南,http://unraid.jimin.codetech.top:8888/udp/239.3.1.193:8012
IPTV经典电影,http://unraid.jimin.codetech.top:8888/udp/239.3.1.195:9024
金鹰卡通,http://unraid.jimin.codetech.top:8888/udp/239.3.1.51:9252
嘉佳卡通,http://unraid.jimin.codetech.top:8888/udp/239.3.1.147:9268
城市剧场,http://unraid.jimin.codetech.top:8888/udp/239.3.1.67:4120
军旅剧场,http://unraid.jimin.codetech.top:8888/udp/239.3.1.68:4120
古装剧场,http://unraid.jimin.codetech.top:8888/udp/239.3.1.69:4120
武侠剧场,http://unraid.jimin.codetech.top:8888/udp/239.3.1.90:4120
喜剧影院,http://unraid.jimin.codetech.top:8888/udp/239.3.1.91:4120
动作影院,http://unraid.jimin.codetech.top:8888/udp/239.3.1.92:4120
家庭影院,http://unraid.jimin.codetech.top:8888/udp/239.3.1.93:4120
音乐现场,http://unraid.jimin.codetech.top:8888/udp/239.3.1.70:4120
财富天下,http://unraid.jimin.codetech.top:8888/udp/239.3.1.53:9136
地理,http://unraid.jimin.codetech.top:8888/udp/239.3.1.71:4120
美妆,http://unraid.jimin.codetech.top:8888/udp/239.3.1.72:4120
美人,http://unraid.jimin.codetech.top:8888/udp/239.3.1.73:4120
精选,http://unraid.jimin.codetech.top:8888/udp/239.3.1.74:4120
解密,http://unraid.jimin.codetech.top:8888/udp/239.3.1.75:4120
军事,http://unraid.jimin.codetech.top:8888/udp/239.3.1.76:4120
国学,http://unraid.jimin.codetech.top:8888/udp/239.3.1.77:4120
戏曲,http://unraid.jimin.codetech.top:8888/udp/239.3.1.78:4120
早教,http://unraid.jimin.codetech.top:8888/udp/239.3.1.79:4120
动画,http://unraid.jimin.codetech.top:8888/udp/239.3.1.80:4120
好学生,http://unraid.jimin.codetech.top:8888/udp/239.3.1.81:4120
鉴赏,http://unraid.jimin.codetech.top:8888/udp/239.3.1.82:4120
墨宝,http://unraid.jimin.codetech.top:8888/udp/239.3.1.83:4120
光影,http://unraid.jimin.codetech.top:8888/udp/239.3.1.84:4120
台球,http://unraid.jimin.codetech.top:8888/udp/239.3.1.85:4120
武术,http://unraid.jimin.codetech.top:8888/udp/239.3.1.87:4120
高网,http://unraid.jimin.codetech.top:8888/udp/239.3.1.88:4120
足球,http://unraid.jimin.codetech.top:8888/udp/239.3.1.89:4120
星影,http://unraid.jimin.codetech.top:8888/udp/239.3.1.94:4120
爱生活,http://unraid.jimin.codetech.top:8888/udp/239.3.1.86:4120
聚鲨健康,http://unraid.jimin.codetech.top:8888/udp/239.3.1.186:8001
聚鲨生活,http://unraid.jimin.codetech.top:8888/udp/239.3.1.187:8001
聚鲨国际,http://unraid.jimin.codetech.top:8888/udp/239.3.1.188:8001


国学,http://unraid.jimin.codetech.top:8888/udp/239.3.1.77:4120
戏曲,http://unraid.jimin.codetech.top:8888/udp/239.3.1.78:4120
早教,http://unraid.jimin.codetech.top:8888/udp/239.3.1.79:4120
动画,http://unraid.jimin.codetech.top:8888/udp/239.3.1.80:4120
好学生,http://unraid.jimin.codetech.top:8888/udp/239.3.1.81:4120
鉴赏,http://unraid.jimin.codetech.top:8888/udp/239.3.1.82:4120
墨宝,http://unraid.jimin.codetech.top:8888/udp/239.3.1.83:4120
光影,http://unraid.jimin.codetech.top:8888/udp/239.3.1.84:4120
台球,http://unraid.jimin.codetech.top:8888/udp/239.3.1.85:4120
武术,http://unraid.jimin.codetech.top:8888/udp/239.3.1.87:4120
高网,http://unraid.jimin.codetech.top:8888/udp/239.3.1.88:4120
足球,http://unraid.jimin.codetech.top:8888/udp/239.3.1.89:4120
星影,http://unraid.jimin.codetech.top:8888/udp/239.3.1.94:4120
爱生活,http://unraid.jimin.codetech.top:8888/udp/239.3.1.86:4120
聚鲨健康,http://unraid.jimin.codetech.top:8888/udp/239.3.1.186:8001
聚鲨生活,http://unraid.jimin.codetech.top:8888/udp/239.3.1.187:8001
聚鲨国际,http://unraid.jimin.codetech.top:8888/udp/239.3.1.188:8001


🐯暮雨｜央视,#genre#
CCTV-1综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV-2财经,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
CCTV-3综艺,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV-4中文国际,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV-5体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV-5+体育赛事,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV-6电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV-7军事农业,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV-8电视剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV-9纪录,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV-10科教,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV-11戏曲,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV-12社会与法,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV-13新闻,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8
CCTV-14少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV-16奥林匹克,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV-17农业农村,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
黑龙江影视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226365/index.m3u8
黑龙江新闻,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226368/index.m3u8
黑龙江文体,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226424/index.m3u8
黑龙江都市,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226427/index.m3u8
黑龙江农业,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226492/index.m3u8
黑龙江少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226371/index.m3u8
黑龙江影视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226298/index.m3u8
黑龙江新闻,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226330/index.m3u8
黑龙江文体,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226239/index.m3u8
黑龙江都市,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226301/index.m3u8
黑龙江农业,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226242/index.m3u8
黑龙江少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226304/index.m3u8
哈尔滨影视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226552/index.m3u8
哈尔滨综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226558/index.m3u8
哈尔滨生活,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226526/index.m3u8
哈尔滨综合,http://stream.hrbtv.net/xwzh/sd/live.m3u8?zheild
哈尔滨影视,http://stream.hrbtv.net/yspd/sd/live.m3u8?zheild
哈尔滨生活,http://stream.hrbtv.net/shpd/sd/live.m3u8?zheild
东北热剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225741/index.m3u8
欢乐剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225742/index.m3u8
哈尔滨生活,http://streamings.hrbtv.net/09e35fcca53542bfa24a6b34e0fc2ff8/h264_400k_ts/index.m3u8?type=hls_live_redirect
佳木斯新闻,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226451/index.m3u8
牡丹江新闻,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226422/index.m3u8
鹤岗新闻,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226534/index.m3u8
漠河综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226535/index.m3u8
黑龙江公共,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226242/index.m3u8
黑龙江都市,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226301/index.m3u8
黑龙江都市,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226036/index.m3u8
黑龙江都市,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226427/index.m3u8
黑龙江影视,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226298/index.m3u8
黑龙江影视,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226022/index.m3u8
